meritocracy	ginicnty	income_i	income_cnty	black_cnty	perc_bush04	pop_cnty	educ_i	age_i	gender_i	white	unemp_i	union_i	partyid_i	ideo_i	attend_i	fips	survid2006	survid2007	survid2009
0	0.351449191570282	1	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	0.8333333134651184	59	0	1	0	0	0.75	0.75	0.6000000238418579	6067	0	0	0
0	0.351449191570282	0.2123105227947235	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	0.6666666865348816	51	0	1	1	0	0.25	0.25	0.4000000059604645	6067	0	0	1
0	0.351449191570282	0.40923288464546204	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	0	25	1	0	0	0	0.5	0.5	0.6000000238418579	6067	0	1	0
1	0.351449191570282	0.2123105227947235	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	0.6666666865348816	36	0	0	0	0	0.5	0.5	0.20000000298023224	6067	0	0	1
1	0.351449191570282	0.5076940655708313	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	0.6666666865348816	40	1	0	0	1	0	0.5	0.800000011920929	6067	1	0	0
0	0.351449191570282	0.3107717037200928	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	0.8333333134651184	68	0	0	0	0	0.25	0.5	1	6067	1	0	0
0	0.351449191570282	0.6904443502426147	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	0.6666666865348816	58	1	0	1	0	0.25	0.5	0.20000000298023224	6067	0	0	1
1	0.351449191570282	0.40923288464546204	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	0.1666666716337204	43	1	1	0	0	0.25	0.75	0.20000000298023224	6067	0	0	0
0	0.351449191570282	0.8030776381492615	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	0.6666666865348816	55	1	1	0	0	0	0.25	0.4000000059604645	6067	1	0	0
0	0.351449191570282	0.5076940655708313	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	0.6666666865348816	22	0	0	0	0	0.25	0.5	0.20000000298023224	6067	0	0	0
0	0.351449191570282	0.8030776381492615	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	0.3333333432674408	61	1	1	0	1	1	0.75	0.6000000238418579	6067	1	0	0
0	0.351449191570282	0.9015387892723083	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	0.6666666865348816	34	1	1	0	1	0.5	0.5	0.20000000298023224	6067	0	1	0
0	0.351449191570282	0.2123105227947235	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	0.8333333134651184	40	0	0	0	1	1	0.75	0.4000000059604645	6067	0	0	0
0	0.351449191570282	0.7046164274215698	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	0.8333333134651184	55	0	1	0	1	0.75	0.5	0	6067	0	1	0
0	0.351449191570282	0.47108784317970276	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	0.5	20	1	0	0	0	0.75	0.25	0.6000000238418579	6067	1	0	0
0	0.351449191570282	0.40923288464546204	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	0.6666666865348816	20	0	0	0	0	0.5	0.5	0.800000011920929	6067	0	1	0
0	0.351449191570282	0.7046164274215698	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	1	40	0	0	0	0	0.25	0	0.4000000059604645	6067	0	1	0
0	0.351449191570282	0.9015387892723083	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	0.8333333134651184	53	0	1	0	1	1	0.75	1	6067	1	0	0
0	0.351449191570282	0.8030776381492615	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	1	78	1	0	0	0	1	0.75	0.4000000059604645	6067	1	0	0
0	0.351449191570282	0.5449405312538147	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	0.6666666865348816	19	0	1	0	0	0.75	0.5	0.4000000059604645	6067	0	0	1
0	0.351449191570282	0.606155276298523	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	0.3333333432674408	59	0	0	1	1	0	0.5	0.20000000298023224	6067	0	1	0
1	0.351449191570282	0.3107717037200928	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	0.3333333432674408	85	1	1	1	0	0.5	0.5	0.20000000298023224	6067	0	1	0
0	0.351449191570282	0.606155276298523	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	0.3333333432674408	42	0	0	0	0	1	0.5	0.4000000059604645	6067	0	0	0
0	0.351449191570282	0.9015387892723083	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	0.6666666865348816	48	0	0	0	1	0	0.5	0.4000000059604645	6067	1	0	0
0	0.3007245659828186	0.606155276298523	0.5307140946388245	0.01120004616677761	0.46000000834465027	0.005539032630622387	0.3333333432674408	70	0	1	0	0	0	0.75	0.4000000059604645	6069	0	0	1
0	0.3007245659828186	0.5076940655708313	0.5307140946388245	0.01120004616677761	0.46000000834465027	0.005539032630622387	0.8333333134651184	49	0	1	0	0	0.5	0.25	0	6069	0	1	0
0	0.3369565010070801	0.5282281637191772	0.3891744911670685	0.09987948089838028	0.550000011920929	0.20297737419605255	0.8333333134651184	89	1	1	1	0	0.75	0.75	0.800000011920929	6071	0	0	1
0	0.3369565010070801	0.8030776381492615	0.3891744911670685	0.09987948089838028	0.550000011920929	0.20297737419605255	0.8333333134651184	30	0	1	0	0	0.75	0.25	0	6071	0	1	0
0	0.3369565010070801	0.9015387892723083	0.3891744911670685	0.09987948089838028	0.550000011920929	0.20297737419605255	1	57	0	0	0	0	0.75	0.75	0.800000011920929	6071	0	0	1
0	0.3369565010070801	0.41404804587364197	0.3891744911670685	0.09987948089838028	0.550000011920929	0.20297737419605255	0.3333333432674408	18	0	1	1	0	0.75	0.5	0.6000000238418579	6071	0	0	0
0	0.3369565010070801	0.7046164274215698	0.3891744911670685	0.09987948089838028	0.550000011920929	0.20297737419605255	0.3333333432674408	37	1	1	0	0	1	0.75	0.4000000059604645	6071	0	0	0
1	0.3369565010070801	0.40923288464546204	0.3891744911670685	0.09987948089838028	0.550000011920929	0.20297737419605255	0.5	28	1	0	0	1	0.25	0.5	0.20000000298023224	6071	0	1	0
0	0.3369565010070801	1	0.3891744911670685	0.09987948089838028	0.550000011920929	0.20297737419605255	0.6666666865348816	19	1	0	0	0	0	0.25	0.800000011920929	6071	1	0	0
0	0.3369565010070801	1	0.3891744911670685	0.09987948089838028	0.550000011920929	0.20297737419605255	0.8333333134651184	49	1	0	0	0	1	0.5	0.4000000059604645	6071	0	0	0
0	0.3369565010070801	0.40923288464546204	0.3891744911670685	0.09987948089838028	0.550000011920929	0.20297737419605255	0.8333333134651184	32	1	1	0	0	0	0.5	0	6071	0	0	1
0	0.3369565010070801	0.606155276298523	0.3891744911670685	0.09987948089838028	0.550000011920929	0.20297737419605255	0.6666666865348816	27	0	1	0	1	1	1	0.800000011920929	6071	1	0	0
1	0.3369565010070801	0.3107717037200928	0.3891744911670685	0.09987948089838028	0.550000011920929	0.20297737419605255	0.3333333432674408	53	1	1	1	0	0.75	0.75	0.800000011920929	6071	0	0	1
0	0.3369565010070801	0.4846234619617462	0.3891744911670685	0.09987948089838028	0.550000011920929	0.20297737419605255	0.3333333432674408	19	1	0	0	0	0.25	0.5	1	6071	0	0	1
0	0.3369565010070801	0.8030776381492615	0.3891744911670685	0.09987948089838028	0.550000011920929	0.20297737419605255	0.6666666865348816	51	1	1	0	0	0.25	0.75	0.20000000298023224	6071	0	1	0
0	0.3369565010070801	0.8030776381492615	0.3891744911670685	0.09987948089838028	0.550000011920929	0.20297737419605255	0.6666666865348816	66	1	1	1	0	1	0.75	0.800000011920929	6071	0	0	1
1	0.3369565010070801	0.40923288464546204	0.3891744911670685	0.09987948089838028	0.550000011920929	0.20297737419605255	0.3333333432674408	50	1	1	0	0	0	0.5	0.800000011920929	6071	0	0	1
1	0.3369565010070801	0.40923288464546204	0.3891744911670685	0.09987948089838028	0.550000011920929	0.20297737419605255	0.3333333432674408	75	1	1	1	0	0.25	0.5	0.6000000238418579	6071	0	1	0
1	0.3369565010070801	0.40923288464546204	0.3891744911670685	0.09987948089838028	0.550000011920929	0.20297737419605255	0.3333333432674408	62	0	0	0	0	0	0.5	0.6000000238418579	6071	1	0	0
0	0.3369565010070801	0.7046164274215698	0.3891744911670685	0.09987948089838028	0.550000011920929	0.20297737419605255	0.1666666716337204	18	1	0	1	0	0.25	0	0.4000000059604645	6071	0	0	1
0	0.3369565010070801	0.8030776381492615	0.3891744911670685	0.09987948089838028	0.550000011920929	0.20297737419605255	0.8333333134651184	42	0	0	0	0	0.25	0.75	0.6000000238418579	6071	0	0	0
0	0.3369565010070801	0.40923288464546204	0.3891744911670685	0.09987948089838028	0.550000011920929	0.20297737419605255	0.1666666716337204	53	0	0	1	0	0.25	0.25	0.4000000059604645	6071	0	1	0
0	0.3369565010070801	0.8030776381492615	0.3891744911670685	0.09987948089838028	0.550000011920929	0.20297737419605255	1	42	0	1	0	0	1	0.5	0	6071	1	0	0
